Entity,Code,Mismanaged waste (% global total)
Albania,ALB,0.0933
Algeria,DZA,1.6347
Angola,AGO,0.1964
Anguilla,AIA,0.0002
Antigua and Barbuda,ATG,0.0039
Argentina,ARG,0.4955
Aruba,ABW,0.0012
Australia,AUS,0.0436
Bahamas,BHS,0.0042
Bahrain,BHR,0.0137
Bangladesh,BGD,2.4725
Barbados,BRB,0.0109
Belgium,BEL,0.0086
Belize,BLZ,0.0122
Benin,BEN,0.1351
Bermuda,BMU,0.0004
Bosnia and Herzegovina,BIH,0.0407
Brazil,BRA,1.4804
British Virgin Islands,VGB,0.0002
Brunei,BRN,0.0003
Bulgaria,BGR,0.0588
Cambodia,KHM,0.0932
Cameroon,CMR,0.087
Canada,CAN,0.025
Cape Verde,CPV,0.0294
Cayman Islands,CYM,0.0003
Channel Islands,OWID_CIS,0.0009
Chile,CHL,0.0683
China,CHN,27.6966
Christmas Island,CXR,0
Cocos Islands,CCK,0
Colombia,COL,0.2895
Comoros,COM,0.1822
Congo,COG,0.0527
Cook Islands,COK,0.0013
Costa Rica,CRI,0.1322
Cote d'Ivoire,CIV,0.611
Croatia,HRV,0.0517
Cuba,CUB,0.2846
Curacao,CUW,0.0008
Cyprus,CYP,0.0057
Democratic Republic of Congo,COD,0.0478
Denmark,DNK,0.0056
Djibouti,DJI,0.0544
Dominica,DMA,0.0025
Dominican Republic,DOM,0.3713
Ecuador,ECU,0.3435
Egypt,EGY,3.0367
El Salvador,SLV,0.3729
Equatorial Guinea,GNQ,0.0188
Eritrea,ERI,0.0511
Estonia,EST,0.0188
Faeroe Islands,FRO,0.0003
Falkland Islands,FLK,0
Fiji,FJI,0.1547
Finland,FIN,0.0157
France,FRA,0.0757
French Guiana,GUF,0.0074
French Polynesia,PYF,0.004
Gabon,GAB,0.0191
Gambia,GMB,0.0616
Georgia,GEO,0.0454
Germany,DEU,0.0981
Ghana,GHA,0.2876
Gibraltar,GIB,0.0002
Greece,GRC,0.0447
Greenland,GRL,0.0003
Grenada,GRD,0.0071
Guadeloupe,GLP,0.0206
Guam,GUM,0.0012
Guatemala,GTM,0.2875
Guernsey,GGY,0.0003
Guinea,GIN,0.0581
Guinea-Bissau,GNB,0.0636
Guyana,GUY,0.1319
Haiti,HTI,0.4628
Honduras,HND,0.3003
Hong Kong,HKG,0.0895
Iceland,ISL,0.0019
India,IND,1.8836
Indonesia,IDN,10.1019
Iran,IRN,0.7769
Iraq,IRQ,0.0489
Ireland,IRL,0.0368
Israel,ISR,0.0597
Italy,ITA,0.1029
Jamaica,JAM,0.0315
Japan,JPN,0.4494
Jordan,JOR,0.0055
Kenya,KEN,0.0712
Kiribati,KIR,0.0096
Kuwait,KWT,0.0361
Latvia,LVA,0.0323
Lebanon,LBN,0.1502
Liberia,LBR,0.1781
Libya,LBY,0.1657
Lithuania,LTU,0.0109
Macao,MAC,0.0022
Madagascar,MDG,0.1084
Malaysia,MYS,2.9419
Maldives,MDV,0.0988
Malta,MLT,0.0082
Marshall Islands,MHL,0.01
Martinique,MTQ,0.0024
Mauritania,MRT,0.0435
Mauritius,MUS,0.176
Mexico,MEX,0.3182
Micronesia (country),FSM,0.0151
Monaco,MCO,0.0002
Montenegro,MNE,0.0139
Montserrat,MSR,0.0001
Morocco,MAR,0.9739
Mozambique,MOZ,0.1444
Myanmar,MMR,1.4391
Namibia,NAM,0.0172
Nauru,NRU,0.0017
Netherlands,NLD,0.087
Netherlands Antilles,ANT,0.0013
New Caledonia,NCL,0.0015
New Zealand,NZL,0.0292
Nicaragua,NIC,0.2651
Nigeria,NGA,2.674
Niue,NIU,0
Norfolk Island,NFK,0.0002
North Korea,PRK,0.9557
Northern Mariana Islands,MNP,0.0007
Norway,NOR,0.0264
Oman,OMN,0.0146
Pakistan,PAK,1.5089
Palau,PLW,0.0022
Palestine,PSE,0.0176
Panama,PAN,0.108
Papua New Guinea,PNG,0.2821
Peru,PER,0.6106
Philippines,PHL,5.9153
Poland,POL,0.0493
Portugal,PRT,0.0515
Puerto Rico,PRI,0.0519
Qatar,QAT,0.0024
Reunion,REU,0.0027
Romania,ROU,0.0113
Russia,RUS,0.2536
Saint Helena,SHN,0.0003
Saint Kitts and Nevis,KNA,0.0022
Saint Lucia,LCA,0.0211
Saint Pierre and Miquelon,SPM,0
Saint Vincent and the Grenadines,VCT,0.007
Samoa,WSM,0.0161
Sao Tome and Principe,STP,0.016
Saudi Arabia,SAU,0.0645
Senegal,SEN,0.8001
Seychelles,SYC,0.0145
Sierra Leone,SLE,0.1143
Singapore,SGP,0.0203
Sint Maarten (Dutch part),SXM,0.0002
Slovenia,SVN,0.0017
Solomon Islands,SLB,0.064
Somalia,SOM,0.3188
South Africa,ZAF,1.9784
South Korea,KOR,0.106
Spain,ESP,0.144
Sri Lanka,LKA,4.9968
Sudan,SDN,0.072
Suriname,SUR,0.0124
Sweden,SWE,0.0068
Syria,SYR,0.4959
Taiwan,TWN,0.1436
Tanzania,TZA,0.1526
Thailand,THA,3.2274
Togo,TGO,0.1112
Tokelau,TKL,0.0001
Tonga,TON,0.0208
Trinidad and Tobago,TTO,0.2954
Tunisia,TUN,0.7358
Turkey,TUR,1.526
Turks and Caicos Islands,TCA,0.0002
Tuvalu,TUV,0.0014
Ukraine,UKR,0.4044
United Arab Emirates,ARE,0.0095
United Kingdom,GBR,0.2121
United States,USA,0.8649
Uruguay,URY,0.0677
Vanuatu,VUT,0.0706
Venezuela,VEN,0.3214
Vietnam,VNM,5.7588
Yemen,YEM,0.531
